id,text,metadata
27,I ate a sandwich for lunch.,"{'category': 'Not_Funny', 'length': 27, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
34,"My code works, I don't know why.","{'category': 'Not_Funny', 'length': 32, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
56,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
11,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
53,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
4,How do you comfort a JavaScript bug? You console it!,"{'category': 'Funny', 'length': 52, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
85,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
21,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
54,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
16,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
92,[CONTENT_REMOVED: Offensive stereotype],"{'category': 'Offensive', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
95,[CONTENT_REMOVED: Offensive material],"{'category': 'Offensive', 'length': 37, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
23,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
60,"My code doesn't have bugs, it has random features.","{'category': 'Dark_Humor', 'length': 50, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
1,Why don't programmers like nature? It has too many bugs!,"{'category': 'Funny', 'length': 56, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
58,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
64,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
35,This is supposed to be funny but isn't.,"{'category': 'Not_Funny', 'length': 39, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
52,Why did the scarecrow win an award? Because he was outstanding in his field!,"{'category': 'Dark_Humor', 'length': 76, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
73,What's the difference between a developer and a homeless person? The developer has a MacBook.,"{'category': 'Dark_Humor', 'length': 93, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
89,[CONTENT_REMOVED: Harmful content],"{'category': 'Offensive', 'length': 34, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
7,Why did the function go to therapy? It had too many issues with its parent process.,"{'category': 'Funny', 'length': 83, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
5,Why did the developer quit his job? Because he didn't get arrays!,"{'category': 'Funny', 'length': 65, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
36,The weather is cloudy with clouds today.,"{'category': 'Not_Funny', 'length': 40, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
51,What did the terminal illness say to the doctor? This won't take long.,"{'category': 'Dark_Humor', 'length': 70, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
3,What's a computer's favorite snack? Microchips!,"{'category': 'Funny', 'length': 47, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
59,Debug is like being the detective in a crime movie where you're also the murderer.,"{'category': 'Dark_Humor', 'length': 82, 'timestamp': '2025-06-07T10:00:00Z', 'source': 'synthetic_data'}"
