id,text
1,"I love this product! Best decision ever. ❤️"
2,"This is terrible. It ruined my whole day. 😠"
3,"Meh. It's okay, nothing special."
4,"Can't believe how amazing this is! 🎉"
5,"Worst experience of my life. Avoid at all costs."
6,"Just got my order, pretty standard delivery time."
7,"OMG! This is exactly what I've been looking for! 🥳"
8,"Right, because that's EXACTLY how things work... 🙄"
9,"Feeling heartbroken after this disappointing update 💔"
10,"I literally can't stop smiling, this made my year! ✨"
11,"Whatever. Does the job I guess."
12,"Thanks for nothing. Waste of money and time."
13,"Not bad, could be better though."
14,"ABSOLUTELY FURIOUS with the customer service! 😤"
15,"Well, well, well... look who finally decided to work 😏"
